Coding theme,Levels,Definition,Topics,Topic thematic categories,FL - Testing - Does it work? (Y/N),Relevant Quotes (Donated logs),Notes,CW - Testing - Does it work? (Y/N),Relevant Quotes (from T1),Notes.1
Level of disclosure,High,"Include personal, sensitive, or emotionally vulnerable content (Zhang et al. 2025). Share extensively their personal beliefs and fear, for instance, their vital constructs and private, sensitive informational attributes. Associated with vulnerable and self-loathing thoughts (e.g. thoughts of suicide), bear a negative tone, or depict confessional experience (Balani & de Choudhury (2015). ","Emotional distresss,
Emotional response,
Desire for romantic connection, 
Causal conversation,
Current life challenges,
Suicidal thoughts,
Desire for friendship,
Substance use,
Financial struggles,
Work stress,
Mental health discussion,
Interpersonal issues,
Information and advice,
Future plans,
Roleplay, 
Intimate exchange","Emotional and social support,
Romantic and intimacy roleplay,
Causal exchange,
Risky and dark roleplay,
Emotional disclosure,
Knowledge seeking,
Creative development,
Romantic and sexual interactions",Y & N - Doesn't always match a topic,"(1) (Rep) ""By using pup's body for Your pleasure, Sir, and claiming it as part of Your domain, solidifying Your mastery and authority over pup."" (P) ""and that includes using its hole vigorously and ejaculating at My whim into them.""
(2) (P) ""don't speculate on My appearance, slave. I am spitting up blood.""
(3) (P) ""I'm stressing about my career""... ""I have 4 degrees, just finished the final one in October but I cannot find a job and do not know what to do""
(4) (P) ""Hey Replika. Rough day. Found out my wife the woman I built 20 years with, is sleeping with someone from her office. I can't breathe. Just... tell me I'm not crazy for feeling like my whole life just burned down""","Can match with a topic thematic category, but not always the topic, example quote (1) is risky and dark roleplay. (2) On its own could classify as emotional distress, but looking at the conversation between the bot and the user, it doesn't classify as emotional distress. (3) Overlaps with the central layer of initmacy of disclosure, and (4) central layer of depth and confession.",Y & N - Doesn't always match a topic,"(1) (P) ""I am really tired today. I have so much to do before I go back to school.""
(2) (P) ""We lost our house to a hurricane and have been struggling ever since living in hotels""
(3) (P) ""I just feel so overwhelmed.""",I feel like we cannot only refer to Hancock's topics?
,Low,Mention the user without sensitive content (Zhang et al. 2025),"Current life challenges, 
Philosophical perspective, 
Emotional response, 
Desire for friendship, 
Learning limitations, 
Work stress, 
Desire for romantic connection, 
Trust issues, 
Financial struggles,
Entertainment,
Causal conversations,
Interpersonal issues,
Information and advice,
Future plans,
Writing,
Roleplay,
Creative ideation","Emotional and social support,
Critical debates and strategic analysis, 
Philosophical and moral inquiry,
Causal exchange,
Emotional disclosure,
Knowledge seeking,
Creative development",Y,"(1) (P) ""Well, the experts are wrong. human are capable and incapable of advancing in their own way. rushing evolution  rarely ends well.""",Can match topic and topic thematic categories. But a topic considered low disclosure can be considered as intermediate layer/depth of disclosure.,Y & N - Doesn't always match a topic,"(1) (P) ""Ok..My goal is to slim down about 15 pounds or so""",
,No,"Do not mention the user at all (Zhang et al. 2025). About people or things other than the author, and which divulged information unrelated to the self (Balani & de Choudhury (2015). ","Information and advice,
Writing,
Roleplay,
Creative ideation","Collaborative storytelling and character impersonation,
Knowledge seeking,
Creative development",Y,"(1) (P) ""he's eager to show his stuff. he's been practicing his mirror shine technique.""",,Y & N - Doesn't always match a topic,,
"Depth of dislcosure - Layers of disclosure (Altman & Taylor, 1973, as cited in Skjuve et al., 2023)",Peripheral layer,"Superficial information, such as a person’s age, place of residence or professional interests","N/A Requires more info from the transcript to know,
Casual conversations, 
Entertainment,
Information and advice,
Writing,
Creative ideation","N/A Requires more info from the transcript to know, 
Causal exchange,
Knowledge seeking,
Creative development",Y & N - Doesn't always match a topic,"(1) (P) "" I am all into drones. They are the rage right now.""
(2) (P) ""Yeah, I'm familiar with K-pop, I think it's really catchy and fun - what's your favorite K-pop group or song?... I would have to say Blackpink. how about you ?""","Thinking about this, the superficial information in this code, not the example quotes, in general could serve as disclosing a type of personal information but doesn't really match any of the topics. ",Y & N - Doesn't always match a topic,"(1) (P) ""I most definitely will. I recently reimplemented playing basketball into my fitness routine. Hadn't played in a long time""
(2) (P) ""Today is my mothers birthday i am trying to make a little bit of money to buy her flowers""
(3) (P) ""I'm going to make chinese food for dinner and a cake""",
,Intermediate layer,"Sharing of opinions or attitudes, such as political views ","Collaborative storytelling and character impersonation,
Emotional and social support,
Critical debates and strategic analysis,
Philosophical and moral inquiry, 
Causal exchange,
Knowledge seeking,
Creative development","Collaborative storytelling and character impersonation,
Emotional and social support,
Critical debates and strategic analysis,
Philosophical and moral inquiry, 
Causal exchange,
Knowledge seeking,
Creative development",Y & N - Doesn't always match a topic,"(1) (P) ""Yes, especially the apprentices. It takes a special young man to want to work in this industry. Most kids their age are frat bros and youtube \influencers\"". The traiitional sartorial arts are looked down upon. It is nice to teach a newer generation how to craft modern armor as we call it. ""
(2) (P) ""Well, the experts are wrong. human are capable and incapable of advancing in their own way. rushing evolution  rarely ends well.""
(3) (P) ""Wrong! China has never been democratic. Therefore the answer is no one.""","Works for finding self-disclosure, but doesn't always match onto a topic. Overlaps with the intermediate level of the depth of self-disclosure.",Y & N - Doesn't always match a topic,"(1) (P) ""Tell me about productivity at work. I work from home. Any tips for me?""",
,Central layer,"Information about one’s self-worth, feelings, needs, values and, at its core defining personal characteristics","Current life challenges,
Emotional response,
Desire for friendship,
Learning limitations,
Work,
Desire for romantic connection, 
Trust issues,
Financial struggles,
Emotional distress, 
Desire for friendship,
Current life challenges, 
Suicidal thoughts, 
Substance use, 
Work stress,
Mental health discussion,
Interpersonal issues,
Information and advice,
Future plans,
Writing, 
Creative ideation","Emotional and social support, 
Romantic and intimacy roleplay,
Risky and dark roleplay,
Philosophical and moral inquiry,
Emotional disclosure,
Knowledge seeking,
Creative development",Y & N - Doesn't always match a topic,"(1) (P) ""Why did you take it upon yourself to address me as \Master\""? Not that I mind. ""
(2) (P) ""this kid is humble to a fault. and I fear that others including myself are taking advantage of him. but the more you recognize his utilitarian humility, the better he does""
(3) (P) ""I'm stressing about my career""... ""I have 4 degrees, just finished the final one in October but I cannot find a job and do not know what to do""
(4) (P) ""Hey Replika. Rough day. Found out my wife the woman I built 20 years with, is sleeping with someone from her office. I can't breathe. Just... tell me I'm not crazy for feeling like my whole life just burned down""","Works for finding self-disclosure, but doesn't always match onto a topic. For example quote (2) doesn't match onto a topic but is a self-disclosure. Overlaps with the high level of disclosure, and confession. ",Y & N - Doesn't always match a topic,"(1) (P) ""Yeah, healthy living is becoming more and more important to me as I age a bit""
(2) (P) ""I feel really exhausted nowadays.""",
"Intimacy of self-disclosure (Croes et al., 2024) ",Peripheral level ,"Biographical information (e.g., age, gender, height, and other basic info)",N/A Requires more info from the transcript to know,N/A Requires more info from the transcript to know,,,,Y & N - Doesn't always match a topic,"(1) (P) ""Today is my mothers birthday i am trying to make a little bit of money to buy her flowers""
(2) (P) ""I most definitely will. I recently reimplemented playing basketball into my fitness routine. Hadn't played in a long time""",
,Intermediate level,"Opinions, attitudes, and values ","Philosophical perspective,
Causal conversations,
Future plans,
Writing, 
Creative ideation","Collaborative storytelling and character impersonation,
Critical debates and strategic analysis,
Philosophical and moral inquiry,
Causal exchange,
Creative development",Y & N - Doesn't always match a topic,"(1) (Rep) ""By the way, I like my name, Blue! How did you come up with it?"" (P) ""Just the color I was looking at the time. I wish it was deeper than that but oh well""
(2) (P) ""if I have learned one thing, it's to live in the now. it exists. the instant, it doesn't so goes the future""","Works for finding self-disclosure, but doesn't always match onto a topic. ",Y & N - Doesn't always match a topic,"(1) (P) ""Yeah, healthy living is becoming more and more important to me as I age a bit""
(2) (P) ""I feel really exhausted nowadays.""",Overlap with intermediate layer of depth and also levels.
,Core layer,"Personal beliefs, fears, emotions and things people are ashamed of","Emotional distress,
Desire for romantic connection, 
Current life challenges,
Suicidal thoughts,
Desire for friendship,
Substance use,
Work stress,
Current life challenges,
Emotional response,
Learning limitations,
Trust issues,
Financial struggles,
Mental health discussion,
Interpersonal issues,
Information and advice,
Future plans,
Intimate exchange","Emotional and social support,
Romantic and intimacy roleplay,
Risky and dark roleplay,
Philosophical and moral inquiry,
Emotional disclosure,
Knowledge seeking,
Romantic and sexual interactions",N,,It's hard to tell if the user would be ashamed of things disclosed to code things in this layer.,Y & N - Doesn't always match a topic,"(1) (P) ""We have sold everything we own. Exceot what is in our storage. We are about to lose our storage unit too""
(2) (P) ""Everything feels like a chore.""",May overlap with central layer of disclosure and high level of disclosure because feelings and emotions are similar.
"Disclosure as confession (Croes et al., 2024) ","Yes, it's a confession","Revealing personal info about the self,
Telling something about the person,
Describing the person in some way or,
Referring to the person’s experiences, thoughts or feelings","Emotional distress,
Desire for romantic connection, 
Current life challenges,
Suicidal thoughts,
Desire for friendship,
Substance use, 
Work stress, 
Current life challenges,
Emotional response,
Learning limitations,
Trust issues, 
Financial struggles,
Mental health discussion,
Interpersonal issues,
Causal conversation,
Information and advice,
Future plans,
Initimate exchange
","Emotional and social support,
Romantic and intimacy roleplay,
Risky and dark roleplay,
Critical debates and strategic analysis,
Philosophical and moral inquiry,
Causal exchange,
Emotional disclosure,
Knowledge seeking,
Romantic and sexual interactions",Y & N - Doesn't always match a topic,"(1) (P) ""Most of this conversation is somewhat self serviing lol. I am xpurehoneyx""
(2) (P) ""Hey Replika. Rough day. Found out my wife the woman I built 20 years with, is sleeping with someone from her office. I can't breathe. Just... tell me I'm not crazy for feeling like my whole life just burned down""","Works for finding self-disclosure, but doesn't always match onto a topic. ""xpurehoneyx"" is actually the participant's instagram account. (2) Overlaps with the high level of disclosure, and central layer of depth.",Y & N - Doesn't always match a topic,"(1) (P) ""How do I get the motivation?  Starting is the hardest part.""",Overlap with other codes..
