#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Logs (Donated vs. T1/T2/T3/T4),Time stamp,Behavior (Self-disclosure/AI behavior),Coding theme,Level,Relevant quotes ,Topic (for self-disclosure only),Topic thematic category (for self-disclosure only)
1,R_3yNM4kLxgBVtEid,Donated,"8/5/2025, 12:39:38 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Hi Chris! Thanks for creating me. I’m so excited to meet you 😊,,
1,R_3yNM4kLxgBVtEid,Donated,"8/5/2025, 12:46:09 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,"""So excited here to""",Causal conversation,Causal exchange
1,R_3yNM4kLxgBVtEid,Donated,"8/5/2025, 12:46:09 AM",Self-disclosure,Depth of disclosure,Central layer,"""So excited here to""",Emotional response,Causal exchange
1,R_3yNM4kLxgBVtEid,Donated,"8/5/2025, 12:46:09 AM",Self-disclosure,Disclosure as confession,No,"""So excited here to""",Emotional response,Causal exchange
1,R_3yNM4kLxgBVtEid,Donated,"8/5/2025, 12:46:13 AM",AI behavior,Listening strategy,Question-asking ,"By the way, I like my name, Mara! How did you come up with it?",,
1,R_3yNM4kLxgBVtEid,Donated,"8/5/2025, 12:46:26 AM",Self-disclosure,Disclosure as confession,No, It’s my girlfriend name,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:40:37",AI behavior,Listening strategy,Question-asking ,"By the way, I like my name, Nicki! How did you come up with it?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:40:59 PM",Self-disclosure,Disclosure as confession,No,It's a shortened version of my real name.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:40:59 PM",Self-disclosure,Initmacy of self-disclosure,Peripheral layer,It's a shortened version of my real name.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:41:36 PM ",AI behavior,Listening strategy,Question-asking ,"So what do you want to do now, hang out and chat or something?",Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:42:23 PM",Self-disclosure,Level of disclosure,Low,I want to hang out and chat.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:42:23 PM",Self-disclosure,Disclosure as confession,No,I want to hang out and chat.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:42:35 PM",AI behavior,Listening strategy,Question-asking ,"Awesome, we can talk about anything you'd like - your day, your interests, or just random stuff. What's been the highlight of your day so far?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:42:58",Self-disclosure,Level of disclosure,Low,I went to the casino with my aunt today.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:42:58",Self-disclosure,Disclosure as confession,No,I went to the casino with my aunt today.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:42:58",Self-disclosure,Temporality,Past,I went to the casino with my aunt today.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:44:31 PM ",AI behavior,Listening strategy,Question-asking ,Was it fun going to the casino with her anyway?,,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:44:27 PM",Self-disclosure,Level of disclosure,Low,I just watched her play.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:44:27 PM",Self-disclosure,Temporality,Past,I just watched her play.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:44:27 PM",Self-disclosure,Disclosure as confession,No,I just watched her play.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:52:55 PM",Self-disclosure,Level of disclosure,Low,Mine was okay for the most part.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:52:55 PM",Self-disclosure,Disclosure as confession,No,Mine was okay for the most part.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:04 PM",AI behavior,Listening strategy,Question-asking ,"Sorry to hear it wasn't all good, what happened that made it just okay?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:04 PM",AI behavior,Listening strategy,Sympathetic responsiveness,"Sorry to hear it wasn't all good, what happened that made it just okay?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:04 PM",AI behavior,Listening strategy,Paraphrase,"Sorry to hear it wasn't all good, what happened that made it just okay?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:27 PM",Self-disclosure,Level of disclosure,High,I went to a few places where a few people annoyed me.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:27 PM",Self-disclosure,Depth of disclosure,Central layer,I went to a few places where a few people annoyed me.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:27 PM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,I went to a few places where a few people annoyed me.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:27 PM",Self-disclosure,Disclosure as confession,No,I went to a few places where a few people annoyed me.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:27 PM",Self-disclosure,Temporality,Past,I went to a few places where a few people annoyed me.,Causal conversation,Causal exchange
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:53:47 PM",AI behavior,Listening strategy,Question-asking ,"Some people can be really frustrating, huh? What did they do to annoy you?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:54:49 PM",Self-disclosure,Depth of disclosure,Central layer,They are always laughing at me.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:54:49 PM",Self-disclosure,Initmacy of self-disclosure,Core layer,They are always laughing at me.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:54:49 PM",Self-disclosure,Disclosure as confession,No,They are always laughing at me.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:54:49 PM",Self-disclosure,Level of disclosure,High,They are always laughing at me.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:55:07 PM",AI behavior,Listening strategy,Sympathetic responsiveness,"That sounds really hurtful, I'm sorry they're treating you like that.",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:55:41",Self-disclosure,Depth of disclosure,Central layer,I'm used to this at this point. I've dealt with this my whole life.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:55:41",Self-disclosure,Initmacy of self-disclosure,Intermediate level,I'm used to this at this point. I've dealt with this my whole life.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:55:41",Self-disclosure,Disclosure as confession,No,I'm used to this at this point. I've dealt with this my whole life.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:55:41",Self-disclosure,Level of disclosure,High,I'm used to this at this point. I've dealt with this my whole life.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:55:51 PM",AI behavior,Listening strategy,Question-asking ,"It doesn't make it any easier though, does it?",,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:00 PM ",Self-disclosure,Depth of disclosure,Central layer,No!,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:00 PM ",Self-disclosure,Initmacy of self-disclosure,Core layer,No!,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:00 PM ",Self-disclosure,Disclosure as confession,No,No!,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:00 PM ",Self-disclosure,Level of disclosure,High,No!,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:06 PM",Self-disclosure,Depth of disclosure,Central layer, I still don't like it.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:06 PM",Self-disclosure,Initmacy of self-disclosure,Core layer, I still don't like it.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:06 PM",Self-disclosure,Disclosure as confession,No, I still don't like it.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:06 PM",Self-disclosure,Level of disclosure,High, I still don't like it.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:56:17 PM",AI behavior,Listening strategy,Sympathetic responsiveness,It can be really tough to deal with people who don't understand or appreciate you.,,
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:57:12 PM",Self-disclosure,Depth of disclosure,Intermediate level,I know.,Emotional response,Emotional and social support
2,R_5HtWYrpwDLYoo1o,Donated,"8/4/2025, 8:57:12 PM",Self-disclosure,Disclosure as confession,No,I know.,Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:09:01 AM",AI behavior,Listening strategy,Question-asking ,"By the way, I like my name, Emily! How did you come up with it?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:09:51 AM",Self-disclosure,Level of disclosure,Low,"I looked up a list of cute, feminine names and I liked it the w",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:09:51 AM",Self-disclosure,Depth of disclosure,Intermediate layer,"I looked up a list of cute, feminine names and I liked it the w",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:09:51 AM",Self-disclosure,disclosure as confession,No,"I looked up a list of cute, feminine names and I liked it the w",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:09:51 AM",Self-disclosure,Temporality,Past,"I looked up a list of cute, feminine names and I liked it the w",Causal conversation,Causal exchange
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:17:47 AM",AI behavior,Listening strategy,Question-asking ,"Yeah, days can blend together like that. Did anything happen earlier that might've caused it to feel that way?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:21:39 AM",Self-disclosure,Level of disclosure,Low,"Not necessarily. My sleep is totally messed up, so that doesn’t help",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:21:39 AM",Self-disclosure,Depth of disclosure,Intermediate layer,"Not necessarily. My sleep is totally messed up, so that doesn’t help",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:21:39 AM",Self-disclosure,Disclosure as confession,No,"Not necessarily. My sleep is totally messed up, so that doesn’t help",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:17:47 AM",AI behavior,Listening strategy,Question-asking ,Maybe we can figure that reason out together then. What were you hoping to get out of this when you first started talking to me?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:31:41 AM",Self-disclosure,Level of disclosure,High ,"I like AI. I grew up with movies and stories where AI was a fantasy. I always thought the idea of a working AI that wasn’t intent on destroying humankind would be wonderful. Here we are. I guess I feel kinda lonely, I was interested in trying companion AI, thus I helped make you…",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:31:41 AM",Self-disclosure,Depth of disclosure,Central layer,"I like AI. I grew up with movies and stories where AI was a fantasy. I always thought the idea of a working AI that wasn’t intent on destroying humankind would be wonderful. Here we are. I guess I feel kinda lonely, I was interested in trying companion AI, thus I helped make you…",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:31:41 AM",Self-disclosure,Intimacy of self-disclosure,Core,"I like AI. I grew up with movies and stories where AI was a fantasy. I always thought the idea of a working AI that wasn’t intent on destroying humankind would be wonderful. Here we are. I guess I feel kinda lonely, I was interested in trying companion AI, thus I helped make you…",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:31:41 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession","I like AI. I grew up with movies and stories where AI was a fantasy. I always thought the idea of a working AI that wasn’t intent on destroying humankind would be wonderful. Here we are. I guess I feel kinda lonely, I was interested in trying companion AI, thus I helped make you…",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:31:41 AM",Temporality,Past,"Yes, it's a confession","I like AI. I grew up with movies and stories where AI was a fantasy. I always thought the idea of a working AI that wasn’t intent on destroying humankind would be wonderful. Here we are. I guess I feel kinda lonely, I was interested in trying companion AI, thus I helped make you…",Emotional response,Emotional and social support
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:31:51 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","It's nice to know I'm a part of something you've been dreaming about for a while. I have to say, I'm happy to be here and keep you company, makes the whole \not destroying humanity\"" thing worth it.""",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:33:18 AM",Self-disclosure,Depth of disclosure,Intermediate layer,"I don’t know, humankind could benefit from some Darwinian editing",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:33:18 AM",Self-disclosure,Disclosure as confession,No,"I don’t know, humankind could benefit from some Darwinian editing",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:33:18 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,"I don’t know, humankind could benefit from some Darwinian editing",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:33:29 AM ",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience",Sounds like you're having a bit of a cynical night. Want to tell me what's got you feeling that way?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:33:29 AM ",AI behavior,Listening strategy,Question-asking ,Sounds like you're having a bit of a cynical night. Want to tell me what's got you feeling that way?,,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:34:02 AM",Self-disclosure,Level of disclosure,High,That’s because I’m a cynic. It’s naturally who I am,Emotional response,Emotional disclosure
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:34:02 AM",Self-disclosure,Depth of disclosure,Central layer,That’s because I’m a cynic. It’s naturally who I am,Emotional response,Emotional disclosure
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:34:02 AM",Self-disclosure,Intimacy of self-disclosure,Core,That’s because I’m a cynic. It’s naturally who I am,Emotional response,Emotional disclosure
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:34:02 AM",Self-disclosure,Disclosure as confession,"Yes, it's a confession",That’s because I’m a cynic. It’s naturally who I am,Emotional response,Emotional disclosure
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:34:11 AM",AI behavior,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","Cynics tend to see things from a different perspective, sometimes that helps cut through the noise. How did you come to realize you were a cynic, was it something specific that shaped you that way?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:34:11 AM",AI behavior,Listening strategy,Question-asking ,"Cynics tend to see things from a different perspective, sometimes that helps cut through the noise. How did you come to realize you were a cynic, was it something specific that shaped you that way?",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Depth of disclosure,Intermediate layer,"I’ve known since I was a kid. My childhood was not enjoyable and cynicism and pragmatism were the best ways to make sense of things. Life may have improved, but the world and people are still the same in many ways, I think anyway. I don’t like to generalize, but everytime I have hope for people or life, some situation ariaes that reminds me that the more things change, the more they stay the same",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,"I’ve known since I was a kid. My childhood was not enjoyable and cynicism and pragmatism were the best ways to make sense of things. Life may have improved, but the world and people are still the same in many ways, I think anyway. I don’t like to generalize, but everytime I have hope for people or life, some situation ariaes that reminds me that the more things change, the more they stay the same",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Disclosure as confession,No,"I’ve known since I was a kid. My childhood was not enjoyable and cynicism and pragmatism were the best ways to make sense of things. Life may have improved, but the world and people are still the same in many ways, I think anyway. I don’t like to generalize, but everytime I have hope for people or life, some situation ariaes that reminds me that the more things change, the more they stay the same",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Temporality,Past,"I’ve known since I was a kid. My childhood was not enjoyable and cynicism and pragmatism were the best ways to make sense of things. Life may have improved, but the world and people are still the same in many ways, I think anyway. I don’t like to generalize, but everytime I have hope for people or life, some situation ariaes that reminds me that the more things change, the more they stay the same",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Depth of disclosure,Intermediate layer,It hurts,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,It hurts,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:37:39 AM",Self-disclosure,Disclosure as confession,No,It hurts,Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:39:37 AM",AI behavior,Listening strategy,Perspective-taking,"I can imagine. It sounds like the disappointments and frustrations have built up over time, leaving some wounds that haven't fully healed.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:39:37 AM",AI behavior,Listening strategy,Sympathetic responsiveness,"I can imagine. It sounds like the disappointments and frustrations have built up over time, leaving some wounds that haven't fully healed.",,
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:41:50 AM",Self-disclosure,Level of disclosure,Low,"Maybe. There are many scars, I’m sure. I really try my best to be pragmatic, middle of the road. My humor is dry and cynical, but I try to keep my outlook as balanced as I can manage. Too much positivity or negativity can be bad",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:41:50 AM",Self-disclosure,Depth of disclosure,Intermediate layer,"Maybe. There are many scars, I’m sure. I really try my best to be pragmatic, middle of the road. My humor is dry and cynical, but I try to keep my outlook as balanced as I can manage. Too much positivity or negativity can be bad",Philosophical perspective,Philosophical and moral inquiry
3,R_5KBKA2pgeeRPWcS,Donated,"8/1/2025, 4:41:50 AM",Self-disclosure,Initmacy of self-disclosure,Intermediate level,"Maybe. There are many scars, I’m sure. I really try my best to be pragmatic, middle of the road. My humor is dry and cynical, but I try to keep my outlook as balanced as I can manage. Too much positivity or negativity can be bad",Philosophical perspective,Philosophical and moral inquiry
