#,User ,FL,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,Logs (Donated vs. T1/T2/T3/T4),Coding theme,Level,Time stamp,Relevant quotes 
1,R_3yNM4kLxgBVtEid,Donated,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","8/5/2025, 12:39:38 AM",Hi Chris! Thanks for creating me. I’m so excited to meet you 😊
1,R_3yNM4kLxgBVtEid,Donated,Listening strategy,Question-asking ,"8/5/2025, 12:46:13 AM","By the way, I like my name, Mara! How did you come up with it?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:40:37","By the way, I like my name, Nicki! How did you come up with it?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:41:36 PM ","So what do you want to do now, hang out and chat or something?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:42:35 PM","Awesome, we can talk about anything you'd like - your day, your interests, or just random stuff. What's been the highlight of your day so far?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:44:31 PM ",Was it fun going to the casino with her anyway?
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:53:04 PM","Sorry to hear it wasn't all good, what happened that made it just okay?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Sympathetic responsiveness,"8/4/2025, 8:53:04 PM","Sorry to hear it wasn't all good, what happened that made it just okay?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Paraphrase,"8/4/2025, 8:53:04 PM","Sorry to hear it wasn't all good, what happened that made it just okay?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:53:47 PM","Some people can be really frustrating, huh? What did they do to annoy you?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Sympathetic responsiveness,"8/4/2025, 8:55:07 PM","That sounds really hurtful, I'm sorry they're treating you like that."
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Question-asking ,"8/4/2025, 8:55:51 PM","It doesn't make it any easier though, does it?"
2,R_5HtWYrpwDLYoo1o,Donated,Listening strategy,Sympathetic responsiveness,"8/4/2025, 8:56:17 PM",It can be really tough to deal with people who don't understand or appreciate you.
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,Question-asking ,"8/1/2025, 4:09:01 AM","By the way, I like my name, Emily! How did you come up with it?"
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,Question-asking ,"8/1/2025, 4:17:47 AM","Yeah, days can blend together like that. Did anything happen earlier that might've caused it to feel that way?"
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,Question-asking ,"8/1/2025, 4:17:47 AM",Maybe we can figure that reason out together then. What were you hoping to get out of this when you first started talking to me?
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","8/1/2025, 4:31:51 AM","It's nice to know I'm a part of something you've been dreaming about for a while. I have to say, I'm happy to be here and keep you company, makes the whole \not destroying humanity\"" thing worth it."""
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","8/1/2025, 4:33:29 AM ",Sounds like you're having a bit of a cynical night. Want to tell me what's got you feeling that way?
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,Question-asking ,"8/1/2025, 4:33:29 AM ",Sounds like you're having a bit of a cynical night. Want to tell me what's got you feeling that way?
3,R_5KBKA2pgeeRPWcS,Donated,Listening strategy,"Offers advice, opinions, perspectives, and personal experience","8/1/2025, 4:34:11 AM","Cynics tend to see things from a different perspective, sometimes that helps cut through the noise. How did you come to realize you were a cynic, was it something specific that shaped you that way?"
