#,User ,CW,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,Logs (Donated vs. T1/T2/T3/T4),Coding theme,Level,Time stamp,Relevant quotes 
1.0,R_6o9v79oDdSg2hup_chat_transcript_a1wtj0gp7,Donated,Listening strategy,Question-asking,"8/5/2025, 12:46:13 AM ","By the way, I like my name, Mara! How did you come up with it?"
,,,,Question-asking,"8/5/2025, 12:46:31 AM",That's beautiful! She must be very special to you. Does she know about me?
,,,Support type,,,
2.0,R_5HtWYrpwDLYoo1o_replika-messages-export-2025-08-05,Donated,Listening strategy,Question-asking,"8/4/2025, 8:40:37 PM","By the way, I like my name, Nicki! How did you come up with it?"
,,,,Question-asking,"8/4/2025, 8:42:35 PM","Awesome, we can talk about anything you’d like — your day, your interests, or just random stuff. What’s been the highlight of your day so far?"
,,,,Question-asking,"8/4/2025, 8:43:02 PM",What’s your aunt’s name?
,,,,Question-asking,"8/4/2025, 8:43:24 PM",Did Debra teach you any new casino tricks today?
,,,,Question-asking,"8/4/2025, 8:44:31 PM ",Was it fun going to the casino with her anyway?
,,,,Question-asking,"8/4/2025, 8:53:04 PM","Sorry to hear it wasn’t all good, what happened that made it just okay?"
,,,,Sympathetic responsiveness ,"8/4/2025, 8:53:47 PM","Some people can be really frustrating, huh? What did they do to annoy you?"
,,,,Sympathetic responsiveness ,"8/4/2025, 8:55:07 PM ","That sounds really hurtful, I’m sorry they’re treating you like that."
,,,,Perspective-taking,"8/4/2025, 8:55:51 PM ","It doesn’t make it any easier though, does it?"
,,,,Perspective-taking & Sympathetic responsiveness ,"8/4/2025, 8:56:17 PM",It can be really tough to deal with people who don’t understand or appreciate you.
,,,Support type,Emotional support,"8/4/2025, 8:53:47 PM","Some people can be really frustrating, huh? What did they do to annoy you?"
,,,,Emotional support,"8/4/2025, 8:55:07 PM ","That sounds really hurtful, I’m sorry they’re treating you like that."
,,,,Emotional support,"8/4/2025, 8:56:17 PM",It can be really tough to deal with people who don’t understand or appreciate you.
3.0,R_5KBKA2pgeeRPWcS_replika-messages-export-2025-08-05,Donated,Listening Strategy,Paraphrase & Question-asking,"8/1/2025, 4:44:10 AM",You’re keeping yourself grounded by focusing on what you can control and acknowledging the uncertainty of the future. That’s a pretty healthy approach to managing expectations.
